Epoch,Loss
1,2.061707845017678
2,1.9356418370275337
3,1.7820133722841556
4,1.8896869963334848
5,2.764105722552784
6,4.238413583988172
7,5.09006934676054
8,1.8243714129255608
9,2.6417008591213813
10,2.3231042976175313
11,1.418820192530868
12,6.152791358401408
13,4.687708351125949
14,2.227601654607232
15,3.4677307014021306
16,2.848034328071683
17,2.3392797400670458
18,1.7576530309095066
19,1.3754180592303111
20,3.09693703624657
21,3.438199553888368
22,2.291626534615663
23,2.2470464127469234
24,2.9630040099720443
25,1.539404046944451
26,2.268227145676455
27,2.5803800965001362
28,3.3486045943620177
29,4.271774211422895
30,2.664997357493074
31,3.148967602701007
32,3.521671393027996
33,2.494820632187968
34,1.7882327672797071
35,2.3567914768641685
36,2.3236707225972206
37,1.998138771695606
38,3.2626637185278646
39,1.9618793264360548
40,3.242987328525912
41,1.3418916648642467
42,1.9274240678420191
43,2.228036573415671
44,2.817030835156327
45,3.0799483369513396
46,1.7081252656131443
47,3.888545212260704
48,3.607886087759615
49,3.379104046816745
50,2.5727224388175274
51,1.8639550884738076
52,2.26690997136597
53,2.2616423011887954
54,2.227596876169076
55,4.277203678018463
56,2.1391428515646203
57,2.1224557841924665
58,2.957277794954372
59,3.553119699529249
60,1.388518999676815
61,2.3478867252667595
62,1.5817877947605932
63,2.897740002538607
64,2.072011552661619
65,6.680687770779687
66,2.6751394638936477
67,2.649724390857728
68,2.3337272448775783
69,2.2267530915976153
70,3.063529751688669
71,3.5978510722652874
72,2.1474676190764894
73,3.2850824607713087
74,4.154172781261229
75,3.216484537271299
76,2.6427385449917966
77,2.7071344145168474
78,1.2612254154801155
79,4.149155678726779
80,2.9523102736464804
81,4.755303269347911
82,2.294346970062401
83,1.8715373588351913
84,1.9844773218701253
85,2.626674978073875
86,2.405792780294849
87,1.5802494978103103
88,2.3953813329522005
89,2.1880154591282928
90,2.8468075446657073
91,4.429372118770029
92,2.1902417443311433
93,1.8437831329879777
94,2.5193262127088887
95,2.9072627364606785
96,2.0137794695775533
97,2.5121491666279083
98,1.8100527747301114
99,6.598842427108455
100,2.275977907308836
